PID,TRIAL,ATTEMPT,NAME,TOOL,"POS X","POS Y",TIME,SUCCESS,SCORE,IMAGE
651,1,1,Introduction1,obj1,353,47,5575,1,0,"<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGQAAABkCAYAAABw4pVUAAAAAXNSR0IArs4c6QAAAxRJREFUeF7tmDFKXAEURa+9YiFOtDOFCkI2IYK9li7AKli5CiEgVrMAsQmuQEQ7OzsVXEFiJYptwucjmETMDOcW7/+5U889/DlnHjJOSfol8Fr8sqjh96FW5la0OrcKSJk2BqYSpNYXYSKCnJxIFxet+OGwVoC/n2YigmxuSktL7Ue/vJTu7upG6X2Qt9fxmqHylfQ+yNvreA1S+Up6HeS966h+Jb0O8t51VL+S3gb56DoqX0lvg3x0HZWvpJdBRrmOqlfSyyCjXEfVK+ldkHGuo+KVdD/I0ZF0cNC63d/X529fNRiM90v88bHOr/duB5mfl7a2WvvHx9LOjnR6Kj08jFek0Lu7HWR3V2q+3rOzfyqt/L+R/8TvbpDDQ+nm5t+Pd3srbW9Le3uFvvejP0p3gzQxmijvvZoYa2ujWyj0zu4GaSRubEhXV+3fjpcX6fpaWliQzs4KKR7vUbodpPmsy8vS+nr7qc/Ppfv78QwUe3f3gxQTSh8nQahB8z5BzEIpLkGoQfM+QcxCKS5BqEHzPkHMQikuQahB8z5BzEIpLkGoQfM+QcxCKS5BqEHzPkHMQikuQahB8z5BzEIpLkGoQfM+QcxCKS5BqEHzPkHMQikuQahB8z5BzEIpLkGoQfM+QcxCKS5BqEHzPkHMQikuQahB8z5BzEIpLkGoQfM+QcxCKS5BqEHzPkHMQikuQahB8z5BzEIpLkGoQfM+QcxCKS5BqEHzPkHMQikuQahB8z5BzEIpLkGoQfM+QcxCKS5BqEHzPkHMQikuQahB8z5BzEIpLkGoQfM+QcxCKS5BqEHzPkHMQikuQahB8z5BzEIpLkGoQfM+QcxCKS5BqEHzPkHMQikuQahB8z5BzEIpLkGoQfM+QcxCKS5BqEHzPkHMQikuQahB8z5BzEIpDgeZGcxo+tO0nn886+nnE32eid/jIBNv0CwgQcxCKS5BqEHzPkHMQikuQahB8z5BzEIpLkGoQfM+QcxCKS5BqEHzPkHMQikuQahB8z5BzEIpLkGoQfM+QcxCKS5BqEHzPkHMQinuN5KFthcc1h0GAAAAAElFTkSuQmCC'>"
651,2,1,Introduction1_Alt,obj1,366,63,18937,0,0,"<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGQAAABkCAYAAABw4pVUAAAAAXNSR0IArs4c6QAAAtNJREFUeF7tlz9LAnEAht/2oiH6O7VUEPQdJIL2nKIP0BRObkVEbU3R5AeQlmgPIhrd2mpoaYigmkJpLa7DUJLoTk/fn/c4hvfz9Xl8tBuR9KkuHrMrs6qcV7Q4sailiaUuTuLSiMAIQrw+CAjx8kEhZj7yJ+ToKFawu+umIt6Tq6+sszPp5iZ+44WCtLnpJyVXQtbXpfn5WMLjo3R5iZCBEWitoznCsZLcFNJaR1OIYyW5ENKpDtdKciGkUx2ulQy9kL/qcKxk6IX8VYdjJeELOT2Vjo9jtuWytLPz85/cf+pwqyRsIZOT0sZGzLRalba2pIsL6e3t+0//qcOtkrCFbG9L7+/S+Hj7/U2loiR1OFUSrpCTE+nu7veN5v29VCyq/FRKdRPa/PZLdXEPLgpXSCQjktLpUSpJy8s9wNP/I8IVErFaW5Nqtfi34+NDur2VZmakq6v+k+zRK4YtJIKwsCCtrsY4rq+lh4ceoRnMMeELGQy3zF4VIZmhTXcwQtJxy+wqhGSGNt3BCEnHLbOrENKC9uBAen5uZz03J+3vZ8b/18EIQUj/Pm1JX4lCkhLL+PkIyRhw0uMjIYeH7Vft7fEbkpTjUD2fH3UznQhBiBkBszkUghAzAmZzKAQhZgTM5lAIQswImM2hEISYETCbQyEIMSNgNodCEGJGwGwOhSDEjIDZHApBiBkBszkUghAzAmZzKAQhZgTM5lAIQswImM2hEISYETCbQyEIMSNgNodCEGJGwGwOhSDEjIDZHApBiBkBszkUghAzAmZzKAQhZgTM5lAIQswImM2hEISYETCbQyEIMSNgNodCEGJGwGwOhSDEjIDZHApBiBkBszkUMmxCxqbGNDo9qsZLQ/XXutnbC29O14WE95a9FyPEzA9CEGJGwGwOhSDEjIDZHApBiBkBszkUghAzAmZzKAQhZgTM5lAIQswImM2hEISYETCb8wX/KcoXwAWsYwAAAABJRU5ErkJggg=='>"
651,2,2,Introduction1_Alt,obj1,359,45,2523,1,0,"<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGQAAABkCAYAAABw4pVUAAAAAXNSR0IArs4c6QAAArpJREFUeF7tmL0uZHEAR396ohC76H1Ess8gEU9A6QFUotIRETqVqOYBdMsTiFqno9BLdmmEaHdzdzIxk53IHePj3DvnNpp7r9//HCc3MZTkT/q4Jn9MpvGzkZmxmcyOzfbxJh8tCAwNkpD9/ab0rS2u/IERMjeXLCw0RTQaCvlyAmtrLxNOTpL7+y+f1HXAQBTSXkeLArWSgRDSXkdLCLWS2gvpVge5ktoL6VYHuZJaC3mtDmoltRbyWh3USmorpEwdxEpqK6RMHcRKaimklzpolVRfyNFRcnDQ5Lq5mayv//vxlqv1mrc8+17PVFvI+HiyvNxkcXycrK4mp6fJ3d178fn091RbSPGheHhIRkc7wVH/L1JCb3WFHB4mV1f/H/H6OllZSTY2Shyfd0t1hRQyCindrkLG/DyPdolF1RVSHG5pKbm4aH47np+Ty8tkYiI5OytxdOYt1RZSMJ2eThYXm3TPz5ObGybpkquqL6TkQatym0JgphSiEBgB2BwLUQiMQNuc3d3k9rZz39RUsrPzeZstRCGf99fW62+ykF6JffD9CvlgwL2+vhCyt9f51Pa235BeOdbqfj/qMJ0KUQiMAGyOhSgERgA2x0IUAiMAm2MhCoERgM2xEIXACMDmWIhCYARgcyxEITACsDkWohAYAdgcC1EIjABsjoUoBEYANsdCFAIjAJtjIQqBEYDNsRCFwAjA5liIQmAEYHMsRCEwArA5FqIQGAHYHAtRCIwAbI6FKARGADbHQhQCIwCbYyEKgRGAzbEQhcAIwOZYiEJgBGBzLEQhMAKwORaiEBgB2BwLUQiMAGyOhdRNyMi3kQx/H87Tr6c8/n6EHa96c/oupHpHZi9WCMyPQhQCIwCbYyEKgRGAzbEQhcAIwOZYiEJgBGBzLEQhMAKwORaiEBgB2BwLUQiMAGzOX3qIvhfq3G47AAAAAElFTkSuQmCC'>"
651,3,1,Basic,obj1,87,270,6353,1,0,"<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGQAAABkCAYAAABw4pVUAAAAAXNSR0IArs4c6QAAAvNJREFUeF7tnbFKI1EYhc+gWMr2+ggWgkXarWTtthIEIZ0vYZGB7bXW3tLWTjAPICRlwCcQwUbEyixxi8U1utc7/9wcxs/6zvnPfJ8/A44h1XQ6nYofGwIVQmxcvBRBiJcPhJj5QAhC3AiY9eEZghAzAmZ12BCEmBEwq8OGIMSMgFkdNgQhZgTM6rAhCDEjYFaHDUGIGQGzOmwIQswImNVhQxBiRsCsDhuCEDMCZnXYEISYETCrw4YgxIyAWR02BCFmBMzqsCEIMSNgVocNQYgZAbM6bAhCzAiY1WFDEGJGwKwOG4IQMwJmddgQhJgRMKuTtCHLy2mtV1akx8e0s5yaTyBJSFVJBwcfIzw7kx4ewNyUQIgQZDTV8Pf6xkKQESdjltRICDJiZXxKyNLS6+GzB/3TU3yhr56YtCFfHVLJ+0dISdoJsxCSAKnkEYSUpJ0wCyEJkEoeQUhJ2gmzEJIAqeQRhJSknTALIQmQSh5BSEnaCbMQkgCp5BGElKSdMAshCZBKHmku5PhY2t2V1tZK9u7srHwhk4l0dCRdX0tbW9L5uXR311lQpW4sX8j2tnR7K/V6f7re3EiXl6V6d3ZOvpC9PWl19TWYk5POgip1Y/lC1tel+3tpf186PZV2dqSLi1K9Ozunqus6+xt2enWtHxsbep5M9OvwcKGQBoPBQudHDa8kZQuJKhGR05VvbkJIxG9DYAZCAmFGRCEkgmJgBkICYUZEISSCYmAGQgJhRkQhJIJiYAZCAmFGRCEkgmJgBkICYUZEISSCYmAGQgJhRkQhJIJiYAZCAmFGRCEkgmJgRmeFVLMP1/+U+v3+G1yj8Ujj0Vj1Zi23F1vdFvJdc4FfDa80HA0RErjZb6L+fWP4siEIaRP5x9kIWRz7uZMRgpBWCPBQN/v3IYQgpJVNF8+QdrhmpyIkG107FyKkHa7ZqQjJRtfOhQhph2t2KkKy0bVzIULa4Zqd+p6QdwO/ib/2ZtNOuHCukP9cV9d+70N+A4iRTfPabEecAAAAAElFTkSuQmCC'>"
651,4,1,FallAlt,obj2,299,335,4615,0,0,"<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGQAAABkCAYAAABw4pVUAAAAAXNSR0IArs4c6QAAAyJJREFUeF7tnbFKK0EUhv8FG0Uxj+AtRa61ha/gC2glBBR8BSEJaGF5CwvF1sDtfA1BLCx9CkHBRtjLbhJuTDZx1wy7/8i3nTCZc/b/5j9nZjdqkqZpKi4bBRKA2LDIEwGIFw+AmPEACEDcFDDLhx4CEDMFzNLBIQAxU8AsHRwCEDMFzNLBIQAxU8AsHRwCEDMFzNLBIQAxU8AsHRwCEDMFzNLBIQAxU8AsHRwCEDMFzNLBIQAxU8AsHRwCEDMFzNLBIQAxU8AsHRwCEDMFzNLBIQAxU8AsHRwCEDMFzNLBIQAxU8AsHQuHJEmSy9LULwQ3HX98TcQP5OJCur8f3NPmpnR+XnnNA2RCsm8L8vgoZUBaLen9XVpelg4PpZ2dSlC+Hb9SlHKD43ZIBmJvT1pZGdzt9bW0vi69vJS7++EogIRyyPFx1ng+z5b9nIGpcAEkFJBsnq0taXdXen2VHh6k5+cKKAZDARISSGX5pz8AEIDMXEZxN/UA7qBkFYg4XjKWlgKpXHKajw96yJRU40COjkoqGWjY1RVAADJnMVn0kECL/UdMEyWQs7Ny2p+elhvnNCpKIGX7TNYfYrsAYkYMIABZXIH9fWltbf48t7fS29viseqeIUqHPD1Jl5ezpcqeM/b7dUsZJl6UQLJbX12VDg6KRTg5kba3wwhU9yzRAsmEKipdsZaqEfiogUyWrphL1Y8AUnc5qSOehUN6vV5+r51Op457norRdPzxhCyANP3Grun4AJnwCEDMBAEIQGb2Sqse0u12G2nqo7hNfbfYtoc0QmMsKECGYoxqOEBM/uURQP4vRasegkNwyKc1QA+hh0wVBUoWu6zpTkFTp6kX7h/oIfQQesi8rTUOwSE4BIeUOH6zy2KXxS5rnlFwyIRDkl+J9Ftqt9slCky4ITf9G+lvuPkWnclml5UD2aj/azi9Pz3pblEZw30eIAAp3vbikIEuOASH4JAoDoaULEpWrgC7rIJ3Q2mapjgEh+CQGc0sf6eOQ3AIDsEhXz9i4WDIwZCDYVQHw69NHXhESzztnZB0sMsa/jH8wHJHN51DD/kHLU3Y8xnFr64AAAAASUVORK5CYII='>"
651,4,2,FallAlt,obj2,300,341,2069,0,0,"<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGQAAABkCAYAAABw4pVUAAAAAXNSR0IArs4c6QAAAyFJREFUeF7tnL9KI1Echc+AjTamst4tRdKL+Ar2tkJAH0JIAlpYbqlYL263TyEIYmPnI1gpFjZCZGYSN5oxeydzY86Vbzrh/vnN+e6552YmMRsMBgNx2SiQAcSGRVEIQLx4AMSMB0AA4qaAWT1kCEDMFDArB4cAxEwBs3JwCEDMFDArB4cAxEwBs3JwCEDMFDArB4cAxEwBs3JwCEDMFDArB4cAxEwBs3JwCEDMFDArB4cAxEwBs3JwCEDMFDArB4cAxEwBs3JwCEDMFDArB4cAxEwBs3JwCEDMFDArB4cAxEwBs3IsHJJlWSHLon4QvOj5x9dE+kBOTqSrq/Ke1tel4+Paax4gHySbWZCbGykH0mpJz8/S8rK0tydtbtaCMvP8tWYJa5y2Q3IQOzvSykp5t2dn0uqq9PAQdvfDVgCJ5ZCDgzx43o+W/52DqXEBJBaQfJyNDWl7W3p6kq6vpbu7GijKpgCJCaS2/JMdAAKQT5dR2qEewR1sWRUijm8ZS0uRVA4c5uWFDJmQahzI/n6gkpGanZ4CBCBTFpNFhkRa7N9iGICYYUwSyNFRmIqHh2HtnFolCSQ0+PPATu0CiBkxgACkuQLttrS1NX2cy0vp9rb5XF89QpIOyUX6X46kmB/FY5xU/5Hy7m75LqrqenyULi6+em3HmS9ZIPntV21dqW5VI5xJA6naulLdqqyA9Pv9op5ut1vb9/f30tpa7W7vOjSZv9nMk70tHLLoN3aLnn8cC0B4p15hU765+CYKDsEhnzuk1+vFzsig8UbzLuq7xbYZEqTeHBsBZCju6JQzR62DhgYIQCYWilWoBy3jOTbCITgEh0wzGA7BITgEhwSEMMfefyJxyhpbMGQIGUKGkCFkSIACZEilSGQIGUKGJJEh2c9MakudTqfWfte08fnvc+lP01Hi9bfZsgogP2b7Gk4TOfq/+tLfJiPE7QsQgFRnCA4pdcEhOASHpHPKItTZsjhlTfq1ePxOqBPqhQI4BIdM/STJsZdjL8dejr1TFCBDyJC0MiTus9OA0Vriae8HmcrPIcOflAVI+K2bOJyyXgHR5NTzyyvz0AAAAABJRU5ErkJggg=='>"
651,4,3,FallAlt,obj1,302,354,5720,0,0,"<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGQAAABkCAYAAABw4pVUAAAAAXNSR0IArs4c6QAAA1xJREFUeF7tnLFKY0EYhc8FLbTRWix2QQuRxUILCyt7H8FCEPQB7DWFheWWiqUsrNX6AForiA+gpY2lICKikOUmSmISkzvJxJyR74KFZPLPn/PNuWcyiWblcrksLhsFMoDYsKg0AhAvHgAx4wEQgLgpYNYPGQIQMwXM2sEhADFTwKwdHAIQMwXM2sEhADFTwKwdHAIQMwXM2sEhADFTwKwdHAIQMwXM2sEhADFTwKwdHAIQMwXM2sEhADFTwKwdHAIQMwXM2sEhADFTwKwdHAIQMwXM2sEhADFTwKwdHAIQMwXM2sEhADFTwKwdC4dkWVaRZVB/EDzo+evXRPpA9vaki4vqa5qZkXZ3g9c8QBok61qQqyspBzI+Lj09SSMj0tqatLgYBKXr+YNmKTY4bYfkIFZWpNHR6qs9OJDGxqT7+2Kv/m0UQGI5ZHMzD56P1fLfczABF0BiAcnrzM5KS0vSw4N0eSldXwegqA4FSEwgwfI3PwEgAPl0GaUd6hHcwS2rhYj1t4yhoUgqFyzz+kqGNElVD2Rjo6CSkYbt7wMEIG0Wk0WGRFrs36IMQMwwAgQgcRW4vZWen2s1p6bi1v/qask7JD/YnZuryXZzI52dfbWM8eZLGsjxsXR6+lGMLs4W46kZoVLSQPKT94mJZhVOTqS7uwjqDKBEskC2tqoHvJ9d+Ru+FK9kgayu1j6XaiX80ZH0+JgekiSBLC9L09OdxU7RJUkCWViQ5uc7A8nzZXu78zinERZASqVSRZPtgurFBhI6fz8BWgAJ/cQuNpDQ+QHSoABA+rkkuviSwfl5raGXF2l4uHWDk5NS/tPpwiENCg1akEHPXy+HVYbs7Ox0Wsx9efx93kF9t9gWSF/UDigKkDex3m8ZAdr1ZShAANK0sKwypC/LPqAoDsEhOKSdYXAIDsEhOKRAqLLtrYnELqtuwZAhZAgZQoaQIQUUIENaikSGkCFkSBIZkv3MpF/S+vp60P2u18GHfw6lv71Wifd8m1tWBciP4l/DiSVB6XdJ+herWu91AAKQ1hmCQ6q64BAcgkPS2WUR6tyy2GU1+7Vy/E6oE+oVBXAIDmn77pFtL9tetr1se9soQIaQIWllSO/npYEVxsVpb4Nk1fchb/8MP1DObzfcYZf1H8hV4vPIWFIxAAAAAElFTkSuQmCC'>"
651,4,4,FallAlt,obj1,312,349,3914,0,0,"<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGQAAABkCAYAAABw4pVUAAAAAXNSR0IArs4c6QAAAzVJREFUeF7tm09KI0EchV+DCIpgLiDMLEUGXLrwAgqewJUQ0FskWbhwOUvFrQOzm5WeQRBx7dYLCAqCCBk6MRiT2HYlFfpV8/UuUF316/fVq1f9J1m32+2Kw0aBDCA2LHqFAMSLB0DMeAAEIG4KmNVDhgDETAGzcnAIQMwUMCsHhwDETAGzcnAIQMwUMCsHhwDETAGzcnAIQMwUMCsHhwDETAGzcnAIQMwUMCsHhwDETAGzcnAIQMwUMCsHhwDETAGzcnAIQMwUMCsHhwDETAGzcnAIQMwUMCsHhwDETAGzcnAIQMwUMCvHwiFZlvVkqeoPwVWPPzwn0gdyciJdX/evaX1dOj4OnvMAGZFsakFub6UcSKMhvbxIS0vSwYG0tRUEZerxg0Yp1zhth+Qg9vak5eX+1Z6dSaur0uNjuat/bwWQWA45OsqD53Nv+e8cTMABkFhA8n42NqTtbenpSbq5ke7vA1D0mwIkJpBg+cdPAAhAvpxGaYd6BHewZE0QcXjJWFiIpHLJbt7eyJAxqYaBHB6WVDJSs9NTgACkYDJZZEikyV6LbgBihrE2QO7upM1NM3WnKKc2QEY3A3lYp3jUAsjKirS//1n+iwvp+Tk9JLUA8tVWOUWXJA9kkjsGvkjRJckD+e5GMjWXJA1kbU3a3S3OictL6eEhnSxJGsh37hhgSMklADEzjwWQTqfTk6XVagXJE8sh044fVGzJxhZApn1jFwvItOOX1DioWdJAdnY+rvX1VVpcnHztV1fFmgBkRJ+qBal6/GE5knZI0FpQ9A6i4k9ZbYG02+1YGgf1Mxi3qm+LbYEEqTiHxgB5F3Wwhs9B46AuAQKQsQljFepB03kOjXEIDsEhRcbCITgEh+CQEuHLtvdDJHZZQxOGDCFDyBAyhAwpoQAZMlEkMoQMIUOSyJDsZyb9kprNZtB6N2vj8z/n0t9Ze4l3vs2S1QPyI/wznFml6PzuSP9m7SXe+QAByOQMwSF9XXAIDsEh6eyyCHWWLHZZ437tPX4n1An1ngI4BIcU3kWy7WXby7aXbW+BAmQIGZJWhsR7blqyp4Z42jsiVf8+5P0fRCVlrG0zh13Wf6BL2vMzmybpAAAAAElFTkSuQmCC'>"
651,4,5,FallAlt,obj1,309,336,1860,0,0,"<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGQAAABkCAYAAABw4pVUAAAAAXNSR0IArs4c6QAAA0tJREFUeF7tnL9KI1EYxc+AjVqYVqtdsBFZbC0En8AXEBshqG+RpLCw3FKxlMB2Cz6BnYIItmKtrSBiI2SZmUhm82dmbnKT+W74TSd+ufeb87tnzs1NNOp0Oh1xmVEgAogZFkkjALHFAyDGeAAEINYUMNYPGQIQYwoYaweHAMSYAsbawSEAMaaAsXZwCECMKWCsHRwCEGMKGGsHhwDEmALG2sEhADGmgLF2cAhAjClgrB0cAhBjChhrB4cAxJgCxtrBIQAxpoCxdnAIQIwpYKwdHAIQYwoYaweHAMSYAsbawSEAMaaAsXZwCECMKWCsHRMOiaIokaWqPwiuev7smggfyNmZdHeX3tPGhnR66rzmAdIn2diCPDxIMZBaTfr8lBYXpcNDaXvbCcrY8zvNUq44bIfEIPb2pKWl9G4vLqSVFentrdzdd6sA4sshJydx8Pw/WvxzDMbhAogvIPE4m5vSzo70/i7d30tPTw4o0lKA+ATiLP/gCwACkJHLKOxQ9+AOHllDRMw+MhYWPKlccpivLzJkQKoskOPjkkp6Kjs/BwhAchaTiQzxsdifn3ujrK/7GLGaMeYCyPKydHDQE/DqSvr4qEbQSWedCyDDcifOhhCv4IGsraXHWf3X9bX08hIekqCBvL5KzeZo0ePfra6GBSVoIFtb+Sftt7fS4yNAZqLAzY3UbhdPtb8v7e4W11mpCNYh8ae+R0fFMsYn8SH9q2iAFDOdaQVAZip38WQAKdZophUmgLRareSmG41G6ZuPd1Blr6LvPIwzf9m5XetMAKn6E7uq589CAwifqQ+auOoVWvX8OKRvTQBkhCDNvIMp13R0qP+et6rvFpt1iIOGUykFSFfW70fGVFR2GBQgABlYLqa2vQ6LeSqlOASH4JA8a+EQHIJDcEiJ+GXb2xOJXVZmwZAhZAgZQoaQISUUIEOGikSGkCFkSBAZEv2MpF9SvV53et5NWnzZvpT+TDqKv9ebeWQlQH64fQ3Hhwyt3y3pr4+R/IwBEIAMzxAckuqCQ3AIDglnl0Wo88hilzXo1+T4nVAn1BMFcAgOyX0HybaXbS/bXra9OQqQIWRIWBni58zUYZSaOO3tkyt9H9L9Z/gOUs5lqYVd1j8rLeTzvjp5BgAAAABJRU5ErkJggg=='>"
651,4,6,FallAlt,obj1,315,339,2765,0,0,"<img src='data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAGQAAABkCAYAAABw4pVUAAAAAXNSR0IArs4c6QAAA1xJREFUeF7tnL1KK1EUhdeAggpifIN7S5XbW2hjL1hZ2IgS1NoXSFJY2Ai3VESwCVwrn8DGShBLC19CwUJBITIzkczNJJlfnH3CN51wfnbWd9ZZZ2YSvU6n0xGXGQU8gJhhERQCEFs8AGKMB0AAYk0BY/WQIQAxpoCxcnAIQIwpYKwcHAIQYwoYKweHAMSYAsbKwSEAMaaAsXJwCECMKWCsHBwCEGMKGCsHhwDEmALGysEhADGmgLFycAhAjClgrBwcAhBjChgrB4cAxJgCxsrBIQAxpoCxcnAIQIwpYKwcHAIQYwoYKweHAMSYAsbKMeEQz/MCWar6QXDV80fXhPtAjo+lu7vwMy0sSEdHmdc8QPokyy3Iw4PkA6nVpLc3aXpa2tmRlpczQck9f6ZZ0jV22yE+iPV1aWYm/LRnZ9LcnPTyku7Td1sBpCyHHBz4wfP/aP7fPpgMF0DKAuKPs7QkraxIr6/S/b309JQBRdgUIGUCySx/vANAADJ0Gbkd6iW4gy1rgIjRLWNioiSVUw7z+UmGxKSKAtnfT6lkSc1OTwECkBGLyUSGlLTYx2KYsQFyciJdX/eYbGxIh4fuMRobIJub0vx8D8Dzs3R1BZBKFNjelqam4lO/v0uXl5WUlHvSsXDI7q40ORnX4ONDurjIrU0lHZ0Hsrgora4O1+72Vnp8rETbXJM6DyTNfYt/r+HK5TSQ2VlpaytZ6nY7fBjswuU0EP9V/N5essz+6xFX/n83QJJ5/mgLgPyo3MmTmQDSarWCShuNRnLFkRb+lrW2ltzl5mb0lpV3/uSZs7cwAaTqN3ZVzx/FBhDeqcdtXPUKrXp+HNK3JgAyRJBms5k9BUvo8T1vVd8tNuuQErQtNARAuvJ9bxmF1CyhM0AAEltGpo69JSzyQkPgEByCQ0ZZCIfgEByCQ1LELMfenkicsiILhgwhQ8gQMoQMSaEAGTJQJDKEDCFDnMgQ77cn/ZHq9Xqm/a5o4/P2ufSv6Cjl9TezZQVAfmX/Gk5RKVp/W1LkRzZFxyvaHyAAGZwhOCTUBYfgEBzizimLUGfL4pQV92vw+J1QJ9QDBXAIDhl578ixl2Mvx16OvSMUIEPIELcypOjT0sz9a+Jpb59o4X1I95/hZxZ0zDpYOGV9AeqF5POV5bHpAAAAAElFTkSuQmCC'>"
